01306,Anicuns
02601,AurilÉndia
03807,BritÉnia
04508,Caldas Novas
05059,CastelÉndia
03346,Marechal Floriano
05703,C¢rrego do Ouro
04104,Pinheiros
06909,Davin¢polis
04708,S∆o Gabriel da Palha
05176,Vila ValÇrio
00308,AlexÉnia
01405,Aparecida de GoiÉnia
02809,Avelin¢polis
03906,Buriti Alegre
04557,Caldazinha
05109,Catal∆o
03353,MarilÉndia
05802,Corumb† de Goi†s
04203,Pi£ma
07105,Diorama
04807,S∆o JosÇ do Caláado
05200,Vila Velha
00506,AloÉndia
01454,Aparecida do Rio Doce
03104,Baliza
03939,Buriti de Goi†s
04607,Campestre de Goi†s
05208,Catura°
03403,Mimoso do Sul
05901,Corumba°ba
04252,Ponto Belo
07253,DoverlÉndia
04906,S∆o Mateus
05309,Vit¢ria
00555,Alto Horizonte
01504,AporÇ
03203,Barro Alto
03962,Buritin¢polis
04656,Campinaáu
05307,Cavalcante
03502,Montanha
06206,Cristalina
04302,Presidente Kennedy
07352,Edealina
04955,S∆o Roque do Cana∆
00050,Abadia de Goi†s
00605,Alto Para°so de Goi†s
01603,Araáu
03302,Bela Vista de Goi†s
04003,Cabeceiras
04706,Campinorte
05406,Ceres
03601,Mucurici
06305,Cristian¢polis
04351,Rio Bananal
07402,EdÇia
05002,Serra
00100,AbadiÉnia
00803,Alvorada do Norte
01702,Aragaráas
03401,Bom Jardim de Goi†s
04102,Cachoeira Alta
04805,Campo Alegre de Goi†s
05455,Cezarina
03700,Muniz Freire
06404,Crix†s
04401,Rio Novo do Sul
07501,Estrela do Norte
05010,Sooretama
00134,Acre£na
00829,Amaralina
01801,AragoiÉnia
03500,Bom Jesus de Goi†s
04201,Cachoeira de Goi†s
04854,Campo Limpo de Goi†s
05471,Chapad∆o do CÇu
03809,Muqui
06503,Crom°nia
04500,Santa Leopoldina
07535,Faina
05036,Vargem Alta
00159,AdelÉndia
00852,Americano do Brasil
02155,Araguapaz
03559,Bonfin¢polis
04250,Cachoeira Dourada
04904,Campos Belos
05497,Cidade Ocidental
03908,Nova VenÇcia
06602,Cumari
04559,Santa Maria de Jetib†
07600,Fazenda Nova
05069,Venda Nova do Imigrante
00175,µgua Fria de Goi†s
00902,Amorin¢polis
02353,Aren¢polis
03575,Bon¢polis
04300,Caáu
04953,Campos Verdes
03304,Manten¢polis
05513,Cocalzinho de Goi†s
04005,Pancas
06701,Damian¢polis
04609,Santa Teresa
07808,Firmin¢polis
05101,Viana
00209,µgua Limpa
01108,An†polis
02502,Aruan∆
03609,Brazabrantes
04409,Caiapìnia
05000,Carmo do Rio Verde
03320,Marata°zes
05521,Colinas do Sul
04054,Pedro Can†rio
06800,DamolÉndia
04658,S∆o Domingos do Norte
05150,Vila Pav∆o
00258,µguas Lindas de Goi†s
01207,Anhanguera
13906,Uruoca
00359,Alto Rio Novo
01209,Cachoeiro de Itapemirim
08302,Milagres
02207,Fund∆o
09102,Mulungu
02801,Itapemirim
10001,Palhano
10852,Pindoretama
11405,Quixeramobim
12304,S∆o Benedito
13252,Tarrafas
13955,Varjota
00409,Anchieta
01308,Cariacica
08351,Milh∆
02256,Governador Lindenberg
09201,Nova Olinda
02900,Itarana
10100,Palm†cia
10902,Piquet Carneiro
11504,QuixerÇ
12403,S∆o Gonáalo do Amarante
13302,Tau†
14003,V†rzea Alegre
00508,Apiac†
01407,Castelo
08377,Mira°ma
02306,Guaáu°
09300,Nova Russas
03007,I£na
10209,Paracuru
10951,Pires Ferreira
11603,Redená∆o
12502,S∆o Jo∆o do Jaguaribe
13351,Tejuáuoca
14102,Viáosa do Cear†
00607,Aracruz
01506,Colatina
08401,Miss∆o Velha
02405,Guarapari
09409,Novo Oriente
03056,JaguarÇ
10258,Paraipaba
11009,Poranga
11702,Reriutaba
12601,S∆o Lu°s do Curu
13401,Tiangu†
00108,Bras°lia
00706,Atilio Vivacqua
01605,Conceiá∆o da Barra
08500,Mombaáa
02454,Ibatiba
09458,Ocara
03106,Jerìnimo Monteiro
10308,Parambu
